"Identifier","Akt","mTOR","Akt_0.7_0.6","mTOR_0.7_0.6","Akt_0.7_0.7","mTOR_0.7_0.7","Akt_0.7_0.8","mTOR_0.7_0.8","Akt_0.7_0.9","mTOR_0.7_0.9","Akt_0.7_1","mTOR_0.7_1","Akt_0.8_0.6","mTOR_0.8_0.6","Akt_0.8_0.7","mTOR_0.8_0.7","Akt_0.8_0.8","mTOR_0.8_0.8","Akt_0.8_0.9","mTOR_0.8_0.9","Akt_0.8_1","mTOR_0.8_1","Akt_0.9_0.6","mTOR_0.9_0.6","Akt_0.9_0.7","mTOR_0.9_0.7","Akt_0.9_0.8","mTOR_0.9_0.8","Akt_0.9_0.9","mTOR_0.9_0.9","Akt_0.9_1","mTOR_0.9_1","Akt_0.95_0.6","mTOR_0.95_0.6","Akt_0.95_0.7","mTOR_0.95_0.7","Akt_0.95_0.8","mTOR_0.95_0.8","Akt_0.95_0.9","mTOR_0.95_0.9","Akt_0.95_1","mTOR_0.95_1"
"1700025G04RIK;95;",NA,NA,0,0.219,0,0.083,0,0.057,0,0.136,0.003,0.082,0.003,0.055,0.003,0.028,0,0.026,0,0.054,0.001,0.015,0.004,0.052,0.003,0.042,0.002,0.276,0.003,0.02,0,0.066,0.079,0.028,0.067,0.08,0.051,0.12,0.105,0.059,0.014,0.034
"1700037H04RIK;147;",NA,NA,0.149,0.678,0.082,0.853,0.141,0.619,0.199,0.94,0.011,0.435,0.172,0.818,0.21,0.831,0.223,0.743,0.178,0.87,0.137,0.601,0.136,0.752,0.466,0.778,0.082,0.685,0.081,0.833,0.026,0.766,0.182,0.62,0.062,0.743,0.026,0.733,0.008,0.903,0.157,0.712
"1700071K01RIK;151;",NA,NA,0.007,0.048,0.003,0.048,0.001,0.089,0,0.058,0.009,0.019,0.005,0.018,0.008,0.009,0,0.016,0.004,0.024,0,0.013,0.003,0.035,0.003,0.028,0.007,0.047,0.002,0.016,0,0.032,0.026,0.109,0.014,0.15,0.011,0.11,0.029,0.053,0.026,0.051
"1700113I22RIK;147;",NA,NA,0,0.109,0.005,0.119,0,0.103,0,0.036,0.001,0.22,0.007,0.117,0.01,0.24,0,0.117,0.022,0.115,0.001,0.055,0.039,0.067,0.036,0.047,0.017,0.134,0.016,0.08,0.004,0.076,0.016,0.199,0.028,0.262,0.009,0.18,0.005,0.324,0.024,0.131
"1810008A18RIK;38;",NA,NA,0.132,0.613,0.061,0.878,0.099,0.957,0.209,0.918,0.019,0.778,0.1,0.789,0.25,0.76,0.21,0.62,0.263,0.875,0.119,0.908,0.138,0.782,0.457,0.718,0.093,0.827,0.076,0.708,0.023,0.739,0.185,0.466,0.008,0.752,0.049,0.724,0.029,0.926,0.156,0.555
"1810030O07RIK;315;",NA,NA,0.003,0.113,0.005,0.081,0.001,0.14,0.007,0.122,0.011,0.241,0.006,0.067,0.003,0.031,0,0.046,0.002,0.044,0,0.019,0.005,0.142,0.008,0.064,0.005,0.426,0.012,0.149,0.005,0.067,0.032,0.238,0.011,0.256,0.007,0.141,0.02,0.062,0.002,0.161
"2310014H01RIK;212;",NA,NA,0,0.499,0.003,0.315,0,0.395,0,0.285,0,0.294,0.005,0.606,0.001,0.628,0,0.724,0.002,0.651,0,0.62,0.003,0.257,0.002,0.556,0.006,0.529,0.003,0.417,0,0.697,0.027,0.577,0.015,0.441,0.015,0.321,0.029,0.192,0.014,0.337
"2310014H01RIK;234;",NA,NA,0.064,0.635,0.003,0.846,0,0.718,0,0.956,0,0.414,0.018,0.481,0.007,0.802,0.004,0.719,0.027,0.473,0.005,0.85,0.006,0.424,0.006,0.666,0.01,0.579,0.005,0.566,0.006,0.684,0.006,0.612,0.006,0.657,0.017,0.351,0.001,0.662,0.005,0.405
"2310014H01RIK;236;",NA,NA,0,0.149,0,0.118,0,0.048,0,0.118,0,0.028,0,0.212,0.002,0.203,0,0.285,0,0.148,0,0.253,0.001,0.108,0,0.476,0.002,0.211,0.004,0.139,0,0.367,0.031,0.553,0.015,0.213,0.009,0.171,0.027,0.081,0.014,0.231
"2310028H24RIK;96;",NA,NA,0.009,0.304,0.03,0.245,0.002,0.315,0.107,0.103,0,0.43,0.066,0.071,0.012,0.034,0.004,0.046,0.012,0.098,0.011,0.009,0.012,0.084,0.021,0.038,0.022,0.256,0.2,0.031,0.018,0.074,0.154,0.1,0.004,0.092,0.06,0.071,0.017,0.032,0.008,0.086
"2310028H24RIK;98;",NA,NA,0.011,0.171,0.039,0.178,0.007,0.077,0.267,0.091,0.006,0.273,0.073,0.12,0.034,0.056,0.041,0.094,0.028,0.099,0.015,0.049,0.013,0.109,0.017,0.011,0.046,0.381,0.194,0.041,0.027,0.012,0.164,0.101,0.004,0.234,0.053,0.092,0.02,0.07,0.024,0.09
"2410002I01RIK;400;",NA,NA,0.015,0.605,0.004,0.629,0,0.584,0,0.899,0.003,0.611,0.006,0.448,0.006,0.476,0,0.154,0.01,0.336,0,0.363,0.01,0.281,0.006,0.456,0.007,0.449,0.005,0.756,0.002,0.286,0.003,0.454,0.006,0.372,0.003,0.608,0.006,0.146,0.003,0.269
"2610029G23RIK;184;",NA,NA,0.003,0.082,0.011,0.104,0,0.173,0,0.037,0.003,0.171,0.03,0.03,0.021,0.039,0.001,0.05,0.041,0.093,0.014,0.039,0.033,0.076,0.03,0.006,0.024,0.03,0.015,0.061,0.011,0.016,0.023,0.091,0.018,0.083,0.013,0.132,0.008,0.018,0.025,0.064
"2610036D13RIK;823;",NA,NA,0.008,0.126,0.012,0.112,0.001,0.203,0,0.064,0.013,0.262,0.003,0.016,0.013,0.031,0,0.025,0.016,0.06,0.003,0.012,0.031,0.076,0.029,0.044,0.019,0.133,0.018,0.082,0.004,0.023,0.029,0.207,0.025,0.186,0.01,0.15,0.029,0.04,0.012,0.093
"2610110G12RIK;276;",NA,NA,0.005,0.54,0,0.619,0.001,0.798,0.001,0.794,0.011,0.825,0.005,0.66,0.003,0.633,0,0.33,0.002,0.474,0,0.413,0.001,0.37,0.001,0.645,0.002,0.36,0.001,0.858,0,0.616,0.073,0.477,0.068,0.529,0.074,0.753,0.113,0.129,0.016,0.552
"2700078E11RIK;366;",NA,NA,0.04,0.518,0.044,0.602,0.003,0.549,0.015,0.899,0.006,0.539,0.02,0.325,0.007,0.488,0.004,0.275,0.011,0.35,0.02,0.251,0.018,0.239,0.002,0.331,0.018,0.363,0.012,0.704,0.007,0.331,0.027,0.182,0.027,0.492,0.002,0.32,0.001,0.196,0.017,0.294
"2810410L24RIK;57;",NA,NA,0,0.182,0.001,0.168,0.001,0.073,0,0.074,0.006,0.026,0.002,0.189,0.005,0.098,0,0.214,0.002,0.127,0.003,0.062,0.004,0.112,0.001,0.265,0.008,0.07,0,0.057,0,0.145,0.009,0.13,0.004,0.121,0.003,0.138,0,0.054,0,0.073
"2900010J23RIK;26;",NA,NA,0.012,0.483,0.044,0.531,0.008,0.758,0.278,0.936,0.003,0.69,0.063,0.489,0.027,0.49,0.041,0.28,0.01,0.407,0.014,0.396,0.01,0.364,0.014,0.368,0.037,0.437,0.188,0.588,0.019,0.496,0.16,0.343,0.017,0.598,0.061,0.313,0.017,0.229,0.021,0.249
"2900073G15RIK;19;",NA,NA,0.096,0.225,0.073,0.549,0.023,0.204,0.291,0.312,0.011,0.346,0.091,0.099,0.043,0.096,0.043,0.215,0.012,0.05,0.014,0.369,0.011,0.186,0.015,0.171,0.058,0.176,0.211,0.042,0.03,0.151,0.188,0.127,0.018,0.219,0.067,0.175,0.019,0.462,0.037,0.183
"3230401D17RIK;82;",NA,NA,0.617,0.224,0.403,0.317,0.82,0.06,0.116,0.123,0.324,0.058,0.371,0.262,0.192,0.38,0.594,0.273,0.269,0.183,0.561,0.472,0.573,0.52,0.32,0.533,0.589,0.265,0.469,0.458,0.632,0.482,0.163,0.619,0.558,0.281,0.443,0.261,0.77,0.547,0.336,0.345
"3230401D17RIK;84;",NA,NA,0.959,0.29,0.778,0.426,0.875,0.437,0.722,0.38,0.658,0.35,0.833,0.097,0.379,0.085,0.81,0.258,0.587,0.23,0.659,0.409,0.815,0.334,0.473,0.113,0.671,0.264,0.901,0.051,0.893,0.102,0.773,0.245,0.945,0.084,0.813,0.171,0.978,0.662,0.807,0.161
"3BP1;182;",NA,NA,0.019,0.505,0,0.668,0.001,0.766,0,0.963,0.008,0.808,0.025,0.658,0.01,0.823,0.004,0.628,0.026,0.307,0.004,0.681,0.007,0.379,0.004,0.426,0.01,0.488,0.004,0.614,0.009,0.654,0.022,0.224,0.007,0.448,0.011,0.447,0.001,0.327,0.004,0.508
"3BP1;455;",NA,NA,0,0.264,0,0.148,0,0.053,0,0.152,0,0.131,0,0.081,0,0.101,0,0.101,0,0.071,0,0.044,0.001,0.094,0.001,0.064,0.002,0.078,0,0.033,0,0.08,0.003,0.16,0.007,0.208,0.006,0.027,0.003,0.038,0.013,0.124
"3BP1;456;",NA,NA,0.006,0.133,0.005,0.141,0.001,0.154,0.007,0.083,0.01,0.172,0.013,0.165,0.009,0.112,0,0.132,0.03,0.137,0.004,0.043,0.009,0.155,0.014,0.062,0.01,0.416,0.011,0.266,0.011,0.142,0.108,0.213,0.101,0.207,0.087,0.206,0.159,0.19,0.019,0.154
"3BP1;553;",NA,NA,0.21,0.369,0.117,0.325,0.136,0.465,0.218,0.371,0.016,0.31,0.212,0.391,0.291,0.374,0.227,0.554,0.308,0.634,0.148,0.697,0.184,0.563,0.488,0.442,0.087,0.791,0.097,0.546,0.031,0.513,0.205,0.558,0.087,0.503,0.051,0.561,0.017,0.905,0.189,0.561
"3BP2;281;",NA,NA,0.531,0.219,0.41,0.288,0.797,0.063,0.011,0.155,0.369,0.044,0.375,0.212,0.179,0.332,0.577,0.291,0.337,0.131,0.566,0.4,0.545,0.125,0.352,0.153,0.598,0.148,0.465,0.057,0.727,0.169,0.251,0.193,0.666,0.145,0.679,0.163,0.935,0.457,0.403,0.112
"3BP2;498;",NA,NA,0.003,0.13,0.003,0.02,0,0.043,0,0.046,0.004,0.066,0.003,0.051,0.009,0.035,0,0.025,0,0.049,0.001,0.013,0.002,0.077,0.002,0.008,0.003,0.334,0,0.02,0,0.01,0.017,0.105,0.003,0.169,0.012,0.092,0,0.031,0.004,0.044
"46MPR;268;",NA,NA,0,0.157,0,0.023,0,0.051,0,0.27,0,0.026,0.001,0.101,0.006,0.039,0.001,0.037,0.002,0.031,0,0.023,0.005,0.148,0.013,0.037,0.008,0.231,0,0.019,0,0.026,0.008,0.056,0.004,0.151,0,0.08,0,0.044,0.002,0.082
"4930546C10RIK;127;",NA,NA,0.005,0.3,0.002,0.223,0.001,0.096,0,0.164,0.007,0.051,0.009,0.307,0.001,0.193,0,0.468,0.005,0.175,0,0.16,0.009,0.187,0.001,0.292,0.007,0.389,0.003,0.397,0,0.197,0.01,0.297,0.022,0.221,0.008,0.073,0.003,0.19,0.001,0.183
"4930546C10RIK;129;",NA,NA,0.001,0.214,0.001,0.145,0,0.081,0,0.14,0.003,0.035,0,0.09,0.003,0.03,0,0.043,0.006,0.066,0,0.024,0.009,0.106,0.002,0.064,0.009,0.095,0.004,0.056,0.001,0.064,0.089,0.14,0.123,0.044,0.11,0.074,0.176,0.261,0.037,0.112
"4931406P16RIK;662;",NA,NA,0.076,0.182,0.218,0.109,0.789,0.057,0.002,0.21,0.282,0.042,0.313,0.128,0.143,0.072,0.207,0.186,0.132,0.058,0.388,0.088,0.413,0.236,0.095,0.119,0.566,0.106,0.259,0.045,0.528,0.111,0.078,0.143,0.09,0.126,0.415,0.096,0.211,0.15,0.366,0.129
"4931406P16RIK;806;",NA,NA,0.014,0.124,0.004,0.031,0.601,0.048,0.002,0.053,0.076,0.042,0.118,0.087,0.118,0.029,0.057,0.125,0.028,0.071,0.124,0.021,0.066,0.099,0.032,0.139,0.465,0.019,0.02,0.035,0.018,0.033,0.01,0.091,0.013,0.126,0.167,0.213,0.069,0.087,0.328,0.096
"4932438A13RIK;2919;",NA,NA,0.004,0.159,0.004,0.02,0.001,0.108,0,0.277,0.012,0.169,0.004,0.104,0.004,0.033,0,0.031,0.011,0.034,0,0.021,0.007,0.157,0.01,0.086,0.002,0.059,0.001,0.059,0.001,0.042,0.003,0.161,0.009,0.229,0.001,0.192,0.005,0.068,0,0.061
"4933424B01RIK;623;",NA,NA,0,0.237,0.002,0.463,0,0.54,0,0.84,0.001,0.723,0.006,0.212,0.008,0.367,0,0.149,0.024,0.111,0.004,0.276,0.008,0.159,0.005,0.316,0.008,0.361,0.001,0.833,0.009,0.15,0.005,0.24,0.002,0.457,0.009,0.29,0.001,0.113,0,0.159
"4933424B01RIK;626;",NA,NA,0,0.445,0.001,0.582,0,0.439,0,0.861,0.002,0.633,0.01,0.5,0.006,0.464,0,0.13,0.028,0.127,0.004,0.225,0.002,0.385,0.004,0.511,0.007,0.319,0.001,0.738,0.009,0.342,0.001,0.273,0.005,0.309,0.004,0.48,0.005,0.062,0,0.471
"4933424B01RIK;715;",NA,NA,0.013,0.384,0.002,0.676,0,0.626,0,0.894,0.002,0.761,0.021,0.608,0.011,0.556,0,0.257,0.032,0.414,0.004,0.375,0.032,0.285,0.005,0.332,0.01,0.429,0.004,0.769,0.01,0.528,0.017,0.418,0.012,0.543,0.008,0.476,0.002,0.161,0.004,0.394
"5730455O13RIK;12;",NA,NA,0.005,0.284,0.001,0.382,0.001,0.303,0,0.257,0.01,0.696,0.009,0.127,0.01,0.45,0,0.214,0.047,0.101,0.002,0.142,0.006,0.209,0.012,0.146,0.005,0.301,0.001,0.444,0,0.171,0.071,0.12,0.121,0.49,0.071,0.505,0.168,0.154,0.023,0.17
"5730455O13RIK;250;",NA,NA,0.01,0.138,0.044,0.212,0.009,0.253,0.204,0.174,0.004,0.444,0.066,0.083,0.022,0.088,0.042,0.031,0.008,0.064,0.008,0.08,0.011,0.155,0.028,0.078,0.026,0.323,0.217,0.138,0.024,0.051,0.174,0.175,0.013,0.228,0.056,0.3,0.023,0.291,0.023,0.184
"5730455O13RIK;283;",NA,NA,0,0.122,0.003,0.125,0.004,0.094,0,0.038,0.004,0.163,0.003,0.105,0.002,0.12,0,0.053,0.005,0.09,0,0.013,0.004,0.129,0.005,0.044,0.001,0.028,0,0.157,0,0.021,0.009,0.186,0.001,0.097,0.001,0.073,0.018,0.036,0.002,0.089
"5730455O13RIK;285;",NA,NA,0.012,0.116,0.07,0.197,0.003,0.202,0.107,0.133,0,0.256,0.063,0.02,0.031,0.017,0.003,0.075,0.006,0.081,0.011,0.06,0.013,0.055,0.013,0.056,0.037,0.059,0.204,0.033,0.031,0.009,0.148,0.06,0.016,0.073,0.042,0.109,0.018,0.127,0.014,0.089
"5730455O13RIK;9;",NA,NA,0,0.204,0.009,0.092,0,0.11,0,0.043,0.002,0.436,0.011,0.061,0.011,0.032,0,0.056,0.028,0.089,0.004,0.033,0.012,0.094,0.013,0.012,0.013,0.048,0.001,0.035,0.011,0.011,0.007,0.066,0.004,0.125,0.003,0.08,0.004,0.024,0,0.031
"5730455P16RIK;18;",NA,NA,0.001,0.174,0.002,0.012,0,0.109,0,0.2,0.006,0.073,0.005,0.048,0.002,0.016,0,0.017,0.016,0.032,0,0.003,0.004,0.08,0.007,0.038,0.01,0.023,0,0.076,0,0.029,0.021,0.079,0.01,0.156,0.006,0.142,0.004,0.068,0,0.082
"5730455P16RIK;19;",NA,NA,0.004,0.214,0.006,0.161,0.002,0.27,0,0.385,0.011,0.08,0.01,0.132,0.002,0.08,0,0.088,0.005,0.057,0,0.129,0.003,0.2,0.007,0.048,0.001,0.036,0,0.015,0,0.049,0.004,0.057,0.002,0.125,0.003,0.087,0.003,0.069,0.009,0.09
"5730455P16RIK;55;",NA,NA,0.006,0.162,0,0.04,0.002,0.076,0.001,0.016,0.001,0.215,0.007,0.046,0.007,0.025,0,0.036,0.031,0.099,0.002,0.086,0.007,0.047,0.005,0.078,0.008,0.043,0.006,0.086,0,0.041,0.007,0.135,0.007,0.202,0.007,0.084,0,0.085,0.002,0.086
"5730494N06RIK;24;",NA,NA,0.007,0.179,0.002,0.05,0.002,0.025,0.001,0.042,0.003,0.021,0.01,0.141,0.012,0.086,0.001,0.244,0.028,0.125,0.003,0.09,0.006,0.074,0.005,0.281,0.009,0.158,0.008,0.052,0,0.105,0.011,0.16,0.013,0.149,0.003,0.093,0,0.11,0.003,0.127
"5730494N06RIK;25;",NA,NA,0.003,0.236,0,0.151,0.002,0.072,0,0.18,0.008,0.06,0.005,0.159,0.007,0.148,0,0.163,0.006,0.106,0.002,0.045,0.008,0.18,0.007,0.119,0.002,0.491,0,0.402,0,0.127,0.073,0.228,0.109,0.165,0.081,0.217,0.175,0.196,0.024,0.176
"5830433M19RIK;306;",NA,NA,0.001,0.11,0.003,0.002,0,0.07,0,0.012,0.009,0.105,0.007,0.069,0.004,0.098,0,0.031,0.027,0.078,0.004,0.012,0.012,0.098,0.004,0.019,0.009,0.012,0,0.353,0.001,0.013,0.009,0.112,0.004,0.153,0.005,0.115,0,0.029,0,0.105
"5830433M19RIK;307;",NA,NA,0.006,0.466,0.002,0.558,0.001,0.711,0,0.856,0.012,0.664,0.008,0.28,0.005,0.423,0,0.222,0.01,0.357,0.001,0.321,0.003,0.156,0.002,0.302,0.01,0.421,0.001,0.757,0,0.25,0.011,0.16,0.011,0.619,0.01,0.3,0,0.127,0.008,0.232
"6330577E15RIK;125;",NA,NA,0.426,0.395,0.545,0.294,0.937,0.229,0.264,0.414,0.309,0.293,0.537,0.254,0.601,0.252,0.646,0.391,0.376,0.418,0.663,0.536,0.654,0.419,0.604,0.247,0.675,0.323,0.359,0.093,0.681,0.255,0.254,0.187,0.246,0.25,0.499,0.128,0.58,0.787,0.523,0.367
"6330577E15RIK;127;",NA,NA,0.115,0.403,0.083,0.495,0.011,0.22,0.114,0.424,0.011,0.357,0.073,0.253,0.247,0.267,0.056,0.426,0.129,0.315,0.06,0.325,0.043,0.454,0.207,0.235,0.018,0.282,0.065,0.08,0.01,0.188,0.016,0.156,0.02,0.233,0.029,0.292,0.007,0.82,0.042,0.329
"6330577E15RIK;147;",NA,NA,0,0.221,0.002,0.074,0,0.098,0.001,0.125,0.001,0.288,0.007,0.101,0.015,0.197,0.001,0.121,0.023,0.064,0.002,0.053,0.023,0.051,0.014,0.056,0.024,0.215,0.014,0.047,0.003,0.121,0.004,0.1,0.01,0.218,0.004,0.151,0.005,0.136,0.002,0.063
"6330577E15RIK;51;",NA,NA,0.003,0.076,0.004,0.491,0.001,0.399,0,0.689,0.013,0.545,0.077,0.441,0.016,0.327,0.004,0.125,0.05,0.108,0.014,0.173,0.029,0.307,0.017,0.323,0.012,0.391,0.007,0.662,0.01,0.157,0.027,0.394,0.028,0.445,0.01,0.666,0.011,0.35,0.019,0.393
"6330577E15RIK;54;",NA,NA,0,0.074,0,0.074,0,0.132,0,0.04,0.001,0.033,0.027,0.084,0.007,0.115,0.004,0.052,0.031,0.075,0.013,0.027,0.028,0.154,0.009,0.037,0.006,0.07,0.006,0.363,0.005,0.077,0.075,0.193,0.075,0.121,0.022,0.064,0.041,0.023,0.025,0.199
"6330577E15RIK;55;",NA,NA,0.006,0.173,0.005,0.075,0.001,0.135,0,0.122,0.011,0.057,0.009,0.035,0.006,0.025,0,0.077,0.022,0.15,0,0.018,0.001,0.044,0.004,0.038,0.001,0.247,0.001,0.027,0.001,0.13,0.063,0.09,0.062,0.124,0.05,0.067,0.111,0.056,0.014,0.093
"6330577E15RIK;99;",NA,NA,0.016,0.182,0.004,0.097,0,0.109,0,0.075,0.003,0.12,0.01,0.114,0.006,0.105,0,0.134,0.012,0.217,0,0.1,0.021,0.099,0.002,0.077,0.008,0.427,0.004,0.131,0.003,0.176,0.006,0.322,0.009,0.267,0.006,0.126,0.002,0.11,0.004,0.164
"8030462N17RIK;143;",NA,NA,0.195,0.179,0.114,0.351,0.142,0.152,0.213,0.181,0.016,0.365,0.191,0.327,0.284,0.287,0.223,0.451,0.283,0.492,0.139,0.434,0.153,0.482,0.463,0.34,0.073,0.518,0.091,0.176,0.023,0.305,0.191,0.385,0.075,0.345,0.042,0.394,0.014,0.792,0.169,0.371
"8030462N17RIK;145;",NA,NA,0.544,0.283,0.369,0.247,0.807,0.046,0.013,0.126,0.261,0.071,0.367,0.369,0.153,0.367,0.578,0.256,0.255,0.205,0.453,0.615,0.56,0.375,0.309,0.601,0.568,0.328,0.469,0.178,0.631,0.551,0.16,0.65,0.523,0.229,0.429,0.333,0.764,0.469,0.326,0.305
"8030462N17RIK;147;",NA,NA,0.778,0.379,0.723,0.358,0.839,0.255,0.215,0.369,0.516,0.476,0.452,0.481,0.712,0.512,0.655,0.472,0.492,0.346,0.601,0.558,0.633,0.474,0.668,0.589,0.674,0.482,0.647,0.209,0.691,0.564,0.361,0.689,0.716,0.391,0.693,0.369,0.967,0.759,0.482,0.419
"8030462N17RIK;66;",NA,NA,0.183,0.175,0.093,0.3,0.24,0.108,0.138,0.316,0.034,0.089,0.17,0.248,0.516,0.223,0.123,0.268,0.182,0.272,0.143,0.414,0.102,0.468,0.273,0.203,0.402,0.319,0.09,0.075,0.023,0.156,0.039,0.217,0.028,0.171,0.226,0.111,0.039,0.75,0.317,0.262
"8030462N17RIK;67;",NA,NA,0.466,0.108,0.483,0.085,0.806,0.129,0.009,0.088,0.342,0.073,0.347,0.08,0.206,0.024,0.578,0.091,0.355,0.026,0.538,0.013,0.558,0.099,0.387,0.079,0.58,0.071,0.451,0.035,0.7,0.044,0.226,0.157,0.565,0.15,0.471,0.127,0.792,0.086,0.381,0.093
